1,LAUREN,Penny for them.,15,0.3
2,JACK,They're not worth a penny.,26,0.52
3,LAUREN,"Oh, come on. I'll pay double.",29,0.58
4,JACK,Heh. I'd maybe consider triple.,31,0.62
5,LAUREN,Triple?,7,0.14
6,JACK,Yeah.,5,0.1
7,LAUREN,"Tough guy, huh?",15,0.3
8,LAUREN,Maybe not so tough.,19,0.38
9,JACK,"If I want a roller coaster,",27,0.54
10,JACK,I'll take Six Flags.,20,0.4
11,LAUREN,"Oh, lighten up. It's a vacation, Jack.",38,0.76
12,JACK,Yeah. Sipping rum and Coke at a beach in Bora Bora;,51,1.02
13,JACK,"now, that's a vacation.",23,0.46
14,LAUREN,We did those. Boring.,21,0.42
15,LAUREN,We wanted an adventure.,23,0.46
16,JACK,We?,3,0.06
17,LAUREN,Me. The kids.,13,0.26
18,LAUREN,You. It's good all around.,26,0.52
19,JACK,Yeah. It'll be fun.,19,0.38
20,JACK,I just don't like the fact that this family's become,52,1.04
21,JACK,a democracy all of a sudden.,28,0.56
22,LAUREN,"It was a velvet coup, honey.",28,0.56
23,JACK,Hah.,4,0.08
24,LAUREN,You never noticed.,18,0.36
25,LAUREN,"Whoa, heaven, Jack.",19,0.38
26,LAUREN,"I've landed in heaven. Thank you. Hey, Sam. Uh, so we just landed and, um…",74,1.48
27,NOAH,"Mom, where are we? Hey, Sam. We are just outside of Amboseli Park in Kenya. Amboseli. Check this place out, isn't it cool? It's like animals.",141,2.82
28,NOAH,"Hey, uh, Zoe, Billy.",20,0.4
29,NOAH,"Guys, say hi to Sam. Hi, Sam. Hey, Sam. How's it going? You should be here, yo. Fucking good!",93,1.86
30,LAUREN,"Come on, Billy.",15,0.3
31,BILLY,"I'm sorry, Missus. We're headed to a lodge and then we're going to, uh, on a safari tomorrow. I wish you could come. But, uh… Dad.",130,2.6
32,NOAH,"Dad, say hi to Sam. Hi, Sam.",28,0.56
33,LAUREN,"It's so hard, Jack? Send me a video back, okay?",47,0.94
34,JACK,"Hey, I said hi. I said hi.",26,0.52
35,JACK,"Okay. Uh, asante.",17,0.34
36,STAFF MEMBER,Okay.,5,0.1
37,JACK,Okay. All right.,16,0.32
38,JACK,"Let's go. Let's go, kids.",25,0.5
39,JACK,"Billy, let's go get our car.",28,0.56
40,POLICE OFFICER,"Wait, wait, wait.",17,0.34
41,JACK,"Whoa, whoa, whoa.",17,0.34
42,POLICE OFFICER,Wait.,5,0.1
43,LAUREN,What's happening?,17,0.34
44,JACK,I don't know. We're just gonna wait here.,41,0.82
